File Path,Keywords
data10_10.jpg,"女人,近摄,蓝色,室内,长发,侧脸,蓝色服装,黑色背景,性感,宁静"
data10_100.jpg,"女人,儿童,古装,粉色,指着嘴巴,中式服装,夜晚,南瓜灯,鱼灯笼,近摄"
data10_101.jpg,"女人,青年,乡村,森林,黄昏,宁静,立,侧脸,拿着篮子,绿色,黄色,蓝色,近摄,树木,绳子,花朵"
data10_108.jpg,"女人,青年人,坐,阅读,书,近摄,户外,森林,河流,树木,树根,绿色,宁静,灰色,黑白袜子,校服,休闲"
data10_109.jpg,"女人,坐,树,建筑物,红砖房,夕阳,秋天,近摄,复古,红色连衣裙,白色鞋子,头巾,阅读,公园,宁静,户外"
data10_11.jpg,"女人,近摄,酒吧,室内,晚上,黑色连衣裙,灯光昏暗,温暖色调,微笑,立姿,侧身,长发,项链,肤色偏白,性感"
data10_110.jpg,"女人,红色,秋天,森林,坐,长裙,树木,远场,宁静,红色树叶,粉色椅子"
data10_111.jpg,"森林,女人,儿童,祈祷,坐,白衣,大象,烟雾,宁静,近摄,亚洲象"
data10_112.jpg,"女人,中国风,古装,红色,蓝色,绿色,坐,近摄,户外,晴天,山水画,油纸伞,手持扇子,古代服饰,发饰,古典美女,优雅,宁静"
data10_113.jpg,"女人,汉服,古装,湖边,水边,户外,近摄,浅色,白色,紫色,晴天,宁静,优雅,低头,饰品,发饰,珍珠项链,油纸伞"
data10_114.jpg,"女人,古装,旗袍,白色,红色,撑伞,古城墙,户外,远场,宁静,中国风,长裙,站立"
data10_115.jpg,"女人,中年,紫色服装,撑伞,立姿,户外,花园,荷花,夏天,晴天,近摄,淡紫色,宁静,优雅"
data10_116.jpg,"女人,古装,近摄,秋天,户外,树叶,撑伞,淡妆,红色,黄色,宁静,温柔"
data10_117.jpg,"女人,秋天,森林,古装,伞,近摄,立,侧脸,平静,绿色,黄色,树木"
data10_118.jpg,"女人,森林,秋天,近摄,立,侧脸,穿着古装,拿着植物,宁静,暗色调,草,帽子"
data10_119.jpg,"女人,汉服,红色,绿色,扇子,古代服饰,近摄,户外,晴天,湖边,中国风,传统服饰"
data10_12.jpg,"女人,婚纱,白色,近摄,室内,侧脸,女人,立姿,蕾丝,轻纱"
data10_120.jpg,"女人,室内,近摄,古装,红色,绿色,橙色,彩色,花朵,中式服装,立姿,优雅,精致,灯光,华丽"
data10_121.jpg,"女人,古装,淡雅,绿色,白色,轻纱,长裙,扇子,中国风,古典,优雅,近摄,庭院,建筑物,户外,晴天"
data10_122.jpg,"女人,复古服装,旗袍,绿色,花纹,坐,侧身,手持扇子,手提箱,石墙,户外,古建筑,近摄,秋天,黄昏,宁静,优雅"
data10_123.jpg,"女人,坐,旗袍,黄金,白色,夜晚,城市,户外,近摄,毛皮,长腿,性感,砖墙,长袜,高跟鞋,复古"
data10_124.jpg,"女人,旗袍,坐,侧脸,近摄,中国风,复古,花园,户外,彩色,珍珠项链,手提包,石栏杆,长腿,夏天,优雅,宁静"
data10_125.jpg,"女人,室内,近摄,红色,中式服装,旗袍,坐姿,手持乐器,古典,宁静,黑暗背景,木质家具,油灯"
data10_126.jpg,"女人,酒吧,室内,坐,侧脸,中年,酒杯,皮裙,毛衣,近摄,暖色调,酒架,灯光,黑色,棕色"
data10_127.jpg,"女人,青色,花朵图案,旗袍,室内,近摄,侧脸,坐,优雅,宁静,复古,灯光,布料"
data10_128.jpg,"女人,中年,旗袍,花朵图案,珍珠项链,手持扇子,室内,近摄,闭眼,侧脸,优雅,宁静,彩色,砖墙,光线,复古,中国风"
data10_129.jpg,"女人,旗袍,扇子,中式服装,近摄,户外,橙色,立,侧脸,晴天,亚洲人,优雅,写意,背景布"
data10_13.jpg,"女人,长发,侧脸,近摄,都市,银色长裙,性感,户外,白天,拿着一个圆柱形物体"
data10_130.jpg,"秋天,森林,女人,坐,抬头,肤色偏白,近摄,黄叶,毛衣,围巾"
data10_131.jpg,"女人,红色,毛衣,冬季,户外,草地,近摄,拿着,植物,白色外套,低头,宁静"
data10_132.jpg,"女人,秋天,户外,森林,近摄,长发,帽子,浅色外套,侧脸,宁静"
